Time,Event context,Component,Event name,Description
"22/02/21, 14:47",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,A file has been uploaded.,The user with id 7921
"22/02/21, 14:46",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8408' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 14:46",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8408' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:46",Course: Semantic Web,System,Course viewed,The user with id '8408' viewed the course with id '130'.
"22/02/21, 14:46",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8411' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 14:46",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8411' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:46",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 14:45",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Submission form viewed.,The user with id '8465' viewed their submission for the assignment with course module id '4717'.
"22/02/21, 14:45",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8465' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:45",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8465' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 14:45",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8465' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:45",Course: Semantic Web,System,Course viewed,The user with id '8405' viewed the course with id '130'.
"22/02/21, 14:45",Wiki: ?????? ?? ??????,Wiki,Course module viewed,The user with id '8405' viewed the 'wiki' activity with course module id '6512'.
"22/02/21, 14:44",Course: Semantic Web,System,Course viewed,The user with id '8405' viewed the course with id '130'.
"22/02/21, 14:44",File: ?????????? 2,File,Course module viewed,The user with id '8405' viewed the 'resource' activity with course module id '4799'.
"22/02/21, 14:43",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Course module viewed,The user with id '8405' viewed the 'wiki' activity with course module id '5135'.
"22/02/21, 14:43",File: ?????? ????????? ??? 26.01.2021,File,Course module viewed,The user with id '8405' viewed the 'resource' activity with course module id '6519'.
"22/02/21, 14:43",Course: Semantic Web,System,Course viewed,The user with id '8405' viewed the course with id '130'.
"22/02/21, 14:31",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Course module viewed,The user with id '8408' viewed the 'wiki' activity with course module id '5135'.
"22/02/21, 14:31",File: ??????,File,Course module viewed,The user with id '8408' viewed the 'resource' activity with course module id '5158'.
"22/02/21, 14:31",Course: Semantic Web,System,Course viewed,The user with id '8408' viewed the course with id '130'.
"22/02/21, 14:29",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8453' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 14:29",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8453' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:29",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 14:28",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Wiki page viewed,The user with id '8453' viewed the page with id '285' for the wiki with course module id '5135'.
"22/02/21, 14:28",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Course module viewed,The user with id '8453' viewed the 'wiki' activity with course module id '5135'.
"22/02/21, 14:28",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 14:21",File: ?????? 4: ???????? OWL,File,Course module viewed,The user with id '8453' viewed the 'resource' activity with course module id '1000'.
"22/02/21, 14:21",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 14:21",File: ?????? 3: ?????????? ?? ????????????. ????????? RDF ? RDFS.,File,Course module viewed,The user with id '8453' viewed the 'resource' activity with course module id '970'.
"22/02/21, 14:20",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 14:20",File: ?????? 1: ????????? ? ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8453' viewed the 'resource' activity with course module id '969'.
"22/02/21, 14:19",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 14:14",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8444' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 14:14",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8444' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:14",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,A submission has been submitted.,The user with id '8444' has submitted the submission with id '22303' for the assignment with course module id '4717'.
"22/02/21, 14:14",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,Submission updated.,The user with id '8444' updated a file submission and uploaded '2' file/s in the assignment with course module id '4717'.
"22/02/21, 14:14",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,A file has been uploaded.,The user with id '8444' has uploaded a file to the submission with id '22303' in the assignment activity with course module id '4717'.
"22/02/21, 14:14",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8444' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:12",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Submission form viewed.,The user with id '8444' viewed their submission for the assignment with course module id '4717'.
"22/02/21, 14:12",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8444' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:12",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8444' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 14:12",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8444' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 14:08",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Course module viewed,The user with id '8408' viewed the 'wiki' activity with course module id '5135'.
"22/02/21, 14:08",Course: Semantic Web,System,Course viewed,The user with id '8408' viewed the course with id '130'.
"22/02/21, 14:05",Course: Semantic Web,System,Course viewed,The user with id '8390' viewed the course with id '130'.
"22/02/21, 14:03",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 14:02",File: ?????? 7: ??????????? ?? ????????? ? Prot�g�,File,Course module viewed,The user with id '8390' viewed the 'resource' activity with course module id '4727'.
"22/02/21, 14:01",Course: Semantic Web,System,Course viewed,The user with id '8390' viewed the course with id '130'.
"22/02/21, 14:01",File: ?????? 9: ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8390' viewed the 'resource' activity with course module id '4768'.
"22/02/21, 14:01",Course: Semantic Web,System,Course viewed,The user with id '8390' viewed the course with id '130'.
"22/02/21, 14:01",File: ?????? 1: ????????? ? ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8421' viewed the 'resource' activity with course module id '969'.
